entry	name	file	status	error
0040137f	thunk_FUN_0041e370	decompile/0040137f_thunk_FUN_0041e370.c	ok	
00401384	thunk_FUN_00403d90	decompile/00401384_thunk_FUN_00403d90.c	ok	
00401389	i76edit_export_one_road_geometry_chunk	decompile/00401389_i76edit_export_one_road_geometry_chunk.c	ok	
0040138e	thunk_FUN_00415e80	decompile/0040138e_thunk_FUN_00415e80.c	ok	
00401393	thunk_FUN_00409b80	decompile/00401393_thunk_FUN_00409b80.c	ok	
0040139d	thunk_FUN_0041e110	decompile/0040139d_thunk_FUN_0041e110.c	ok	
004013a2	i76edit_save_extended_zone_records	decompile/004013a2_i76edit_save_extended_zone_records.c	ok	
004013a7	thunk_FUN_00409dc0	decompile/004013a7_thunk_FUN_00409dc0.c	ok	
004013ac	i76edit_build_zone_height_or_surface_workset	decompile/004013ac_i76edit_build_zone_height_or_surface_workset.c	ok	
004013b1	thunk_FUN_00403280	decompile/004013b1_thunk_FUN_00403280.c	ok	
004013b6	thunk_FUN_00415430	decompile/004013b6_thunk_FUN_00415430.c	ok	
004013c0	i76edit_get_or_create_zone_surface_sample	decompile/004013c0_i76edit_get_or_create_zone_surface_sample.c	ok	
004013c5	thunk_FUN_004160e0	decompile/004013c5_thunk_FUN_004160e0.c	ok	
004013ca	thunk_FUN_0040f420	decompile/004013ca_thunk_FUN_0040f420.c	ok	
004013cf	thunk_FUN_00422870	decompile/004013cf_thunk_FUN_00422870.c	ok	
004013d4	i76edit_load_extended_zone_records	decompile/004013d4_i76edit_load_extended_zone_records.c	ok	
004013de	thunk_FUN_00406b70	decompile/004013de_thunk_FUN_00406b70.c	ok	
004013e8	thunk_FUN_00404f60	decompile/004013e8_thunk_FUN_00404f60.c	ok	
004013ed	thunk_FUN_0041e3e0	decompile/004013ed_thunk_FUN_0041e3e0.c	ok	
004013f2	thunk_FUN_0041e510	decompile/004013f2_thunk_FUN_0041e510.c	ok	
004013f7	thunk_FUN_00408c50	decompile/004013f7_thunk_FUN_00408c50.c	ok	
004013fc	thunk_FUN_00408c80	decompile/004013fc_thunk_FUN_00408c80.c	ok	
00401401	thunk_FUN_00408ca0	decompile/00401401_thunk_FUN_00408ca0.c	ok	
00401406	thunk_FUN_00409930	decompile/00401406_thunk_FUN_00409930.c	ok	
0040140b	i76edit_load_path_records	decompile/0040140b_i76edit_load_path_records.c	ok	
00401410	i76edit_link_road_edge_neighbors	decompile/00401410_i76edit_link_road_edge_neighbors.c	ok	
00401415	thunk_FUN_004071c0	decompile/00401415_thunk_FUN_004071c0.c	ok	
0040141a	thunk_FUN_00415a00	decompile/0040141a_thunk_FUN_00415a00.c	ok	
0040141f	thunk_FUN_00409210	decompile/0040141f_thunk_FUN_00409210.c	ok	
00401424	thunk_FUN_0040c8c0	decompile/00401424_thunk_FUN_0040c8c0.c	ok	
0040142e	thunk_FUN_00415a20	decompile/0040142e_thunk_FUN_00415a20.c	ok	
00401433	i76edit_save_linked_object_records	decompile/00401433_i76edit_save_linked_object_records.c	ok	
00401438	i76edit_sample_weighted_height_field	decompile/00401438_i76edit_sample_weighted_height_field.c	ok	
00401442	thunk_FUN_00409d90	decompile/00401442_thunk_FUN_00409d90.c	ok	
00401447	thunk_FUN_00403500	decompile/00401447_thunk_FUN_00403500.c	ok	
00401456	thunk_FUN_0040ce70	decompile/00401456_thunk_FUN_0040ce70.c	ok	
0040145b	thunk_FUN_0040c9e0	decompile/0040145b_thunk_FUN_0040c9e0.c	ok	
0040146f	thunk_FUN_00409e50	decompile/0040146f_thunk_FUN_00409e50.c	ok	
00401474	thunk_FUN_0041f4a0	decompile/00401474_thunk_FUN_0041f4a0.c	ok	
00401479	i76edit_object_type_has_runtime_position_override	decompile/00401479_i76edit_object_type_has_runtime_position_override.c	ok	
0040147e	thunk_FUN_00409be0	decompile/0040147e_thunk_FUN_00409be0.c	ok	
00401483	thunk_FUN_0040f4b0	decompile/00401483_thunk_FUN_0040f4b0.c	ok	
00401488	thunk_FUN_0040c990	decompile/00401488_thunk_FUN_0040c990.c	ok	
00401492	thunk_FUN_00409c50	decompile/00401492_thunk_FUN_00409c50.c	ok	
00401497	i76edit_create_main_window_and_controls	decompile/00401497_i76edit_create_main_window_and_controls.c	ok	
0040149c	thunk_FUN_00404570	decompile/0040149c_thunk_FUN_00404570.c	ok	
004014a1	thunk_FUN_00420db0	decompile/004014a1_thunk_FUN_00420db0.c	ok	
004014a6	thunk_FUN_0040f180	decompile/004014a6_thunk_FUN_0040f180.c	ok	
004014ab	i76edit_save_path_records	decompile/004014ab_i76edit_save_path_records.c	ok	
004014b0	thunk_FUN_00408830	decompile/004014b0_thunk_FUN_00408830.c	ok	
004014b5	thunk_FUN_00409840	decompile/004014b5_thunk_FUN_00409840.c	ok	
004014ba	thunk_FUN_00404bd0	decompile/004014ba_thunk_FUN_00404bd0.c	ok	
004014bf	i76edit_load_object_records	decompile/004014bf_i76edit_load_object_records.c	ok	
004014c9	i76edit_save_road_records	decompile/004014c9_i76edit_save_road_records.c	ok	
004014ce	thunk_FUN_0041f5d0	decompile/004014ce_thunk_FUN_0041f5d0.c	ok	
004014d3	i76edit_delete_road_node_and_cleanup_edges	decompile/004014d3_i76edit_delete_road_node_and_cleanup_edges.c	ok	
004014d8	thunk_FUN_00408bc0	decompile/004014d8_thunk_FUN_00408bc0.c	ok	
004014e7	thunk_FUN_00403b30	decompile/004014e7_thunk_FUN_00403b30.c	ok	
004014f1	thunk_FUN_0040b2b0	decompile/004014f1_thunk_FUN_0040b2b0.c	ok	
004014fb	thunk_FUN_0041c410	decompile/004014fb_thunk_FUN_0041c410.c	ok	
00401500	thunk_FUN_0041c480	decompile/00401500_thunk_FUN_0041c480.c	ok	
00401505	thunk_FUN_004160c0	decompile/00401505_thunk_FUN_004160c0.c	ok	
0040150a	thunk_FUN_00409b60	decompile/0040150a_thunk_FUN_00409b60.c	ok	
0040150f	i76edit_export_grade_debug_for_roads	decompile/0040150f_i76edit_export_grade_debug_for_roads.c	ok	
00401514	thunk_FUN_00405670	decompile/00401514_thunk_FUN_00405670.c	ok	
00401519	thunk_FUN_0040fa20	decompile/00401519_thunk_FUN_0040fa20.c	ok	
0040151e	thunk_FUN_0041f6a0	decompile/0040151e_thunk_FUN_0041f6a0.c	ok	
0040152d	i76edit_export_runtime_linked_object_obj_records	decompile/0040152d_i76edit_export_runtime_linked_object_obj_records.c	ok	
00401532	thunk_FUN_0041f7c0	decompile/00401532_thunk_FUN_0041f7c0.c	ok	
00401537	thunk_FUN_004089e0	decompile/00401537_thunk_FUN_004089e0.c	ok	
0040153c	thunk_FUN_00409d00	decompile/0040153c_thunk_FUN_00409d00.c	ok	
00401a90	i76edit_winmain_and_message_loop	decompile/00401a90_i76edit_winmain_and_message_loop.c	ok	
00402290	i76edit_find_existing_editor_window	decompile/00402290_i76edit_find_existing_editor_window.c	ok	
004022b0	i76edit_export_road_records	decompile/004022b0_i76edit_export_road_records.c	ok	
004024d0	i76edit_export_one_road_geometry_chunk	decompile/004024d0_i76edit_export_one_road_geometry_chunk.c	ok	
